通番,情報種別,市外局番,電話番号,電番略符号,カナ名称,漢字名称,法人種類コード,住所コード,都道府県名,市区郡町村名,大字通称名,字丁目名,街区番号,郵便番号,基本分類コード,基本分類名,TP分類コード,TP分類名
00000888,0,011,557-6566,,温泉浴場 支店,温泉浴場 支店,0,01101527438,北海道,札幌市中央区,南三条西,5丁目,14-4,0210401,76,公衆浴場業,7601,温泉浴場
00000889,0,011,926-5192,,温泉浴場 本店,温泉浴場 本店,0,01101860836,北海道,札幌市中央区,南三条西,9丁目,4-25,0170686,76,公衆浴場業,7601,温泉浴場
00000890,0,011,291-7747,,温泉浴場,温泉浴場,1,01101475747,北海道,札幌市中央区,大通西,4丁目,14-23,0380788,76,公衆浴場業,7601,温泉浴場
00000891,0,011,776-6786,,温泉浴場 北二条西,温泉浴場 北二条西,0,01101692109,北海道,札幌市中央区,北二条西,9丁目,12-4,0780544,76,公衆浴場業,7601,温泉浴場
00000892,0,011,398-1377,,温泉浴場 本店,温泉浴場 本店,0,01101536733,北海道,札幌市中央区,北二条西,1丁目,17-24,0380948,76,公衆浴場業,7601,温泉浴場
00000893,0,011,276-1231,,自動車整備業 本店,自動車整備業 本店,1,01101235890,北海道,札幌市中央区,大通西,9丁目,10-4,0280294,59,自動車整備業,5901,自動車整備業
00000894,0,011,799-4523,,自動車整備業 中央区,自動車整備業 中央区,0,01101234177,北海道,札幌市中央区,北二条西,4丁目,4-16,0930936,59,自動車整備業,5901,自動車整備業
00000895,0,011,332-6640,,自動車整備業 支店,自動車整備業 支店,1,01101765700,北海道,札幌市中央区,北三条西,5丁目,16-19,0620294,59,自動車整備業,5901,自動車整備業
00000896,0,011,926-4336,,自動車整備業 本店,自動車整備業 本店,1,01101183011,北海道,札幌市中央区,南一条西,1丁目,6-10,0580539,59,自動車整備業,5901,自動車整備業
00000897,0,011,190-5579,,自動車整備業,自動車整備業,0,01101138828,北海道,札幌市中央区,北二条西,2丁目,13-24,0550818,59,自動車整備業,5901,自動車整備業
00000898,0,011,326-2495,,自動車整備業 南五条西,自動車整備業 南五条西,0,01101942686,北海道,札幌市中央区,南五条西,9丁目,2-26,0200869,59,自動車整備業,5901,自動車整備業
00000899,0,011,608-2598,,自動車整備業,自動車整備業,1,01101940716,北海道,札幌市中央区,北一条西,9丁目,2-13,0910787,59,自動車整備業,5901,自動車整備業
00000900,0,011,211-6950,,自動車整備業,自動車整備業,1,01101999077,北海道,札幌市中央区,北一条西,10丁目,15-13,0780632,59,自動車整備業,5901,自動車整備業
00000901,0,011,293-4376,,自動車整備業 支店,自動車整備業 支店,0,01101635898,北海道,札幌市中央区,南一条西,4丁目,12-17,0930828,59,自動車整備業,5901,自動車整備業
00000902,0,011,291-2687,,自動車整備業 南一条西,自動車整備業 南一条西,0,01101864579,北海道,札幌市中央区,南一条西,5丁目,10-13,0940962,59,自動車整備業,5901,自動車整備業
00000903,0,011,113-3726,,自動車整備業 本店,自動車整備業 本店,1,01101873923,北海道,札幌市中央区,南六条西,9丁目,19-21,0690571,59,自動車整備業,5901,自動車整備業
00000904,0,011,972-3694,,自動車整備業 本店,自動車整備業 本店,0,01101670493,北海道,札幌市中央区,北一条西,2丁目,1-11,0770310,59,自動車整備業,5901,自動車整備業
00000905,0,011,448-5916,,自動車整備業 支店,自動車整備業 支店,0,01101882235,北海道,札幌市中央区,南六条西,6丁目,1-9,0110233,59,自動車整備業,5901,自動車整備業
00000906,0,011,376-4832,,自動車整備業 支店,自動車整備業 支店,1,01101477040,北海道,札幌市中央区,南一条西,6丁目,12-21,0570571,59,自動車整備業,5901,自動車整備業
00000907,0,011,549-5936,,自動車整備業 中央区,自動車整備業 中央区,0,01101817313,北海道,札幌市中央区,南六条西,5丁目,8-14,0120866,59,自動車整備業,5901,自動車整備業
00000908,0,011,924-5388,,自動車整備業 支店,自動車整備業 支店,0,01101895379,北海道,札幌市中央区,南三条西,3丁目,6-16,0750599,59,自動車整備業,5901,自動車整備業
00000909,0,011,831-7446,,自動車整備業,自動車整備業,1,01101347573,北海道,札幌市中央区,南四条西,8丁目,15-9,0320999,59,自動車整備業,5901,自動車整備業
00000910,0,011,407-5685,,自動車整備業 本店,自動車整備業 本店,0,01101558900,北海道,札幌市中央区,南六条西,1丁目,8-5,0890812,59,自動車整備業,5901,自動車整備業
00000911,0,011,788-6427,,自動車整備業 中央区,自動車整備業 中央区,1,01101642749,北海道,札幌市中央区,南六条西,3丁目,6-4,0120635,59,自動車整備業,5901,自動車整備業
00000912,0,011,941-9473,,自動車整備業 支店,自動車整備業 支店,0,01101475827,北海道,札幌市中央区,南一条西,9丁目,3-5,0110344,59,自動車整備業,5901,自動車整備業
00000913,0,011,131-9711,,札幌ラーメン,札幌ラーメン,0,01102681182,北海道,札幌市北区,北二十条西,6丁目,12-21,0520104,52,そば・うどん店,5299,ラーメン店
00000914,0,011,977-5366,,函館塩ラーメン 北区,函館塩ラーメン 北区,0,01102489164,北海道,札幌市北区,北二十条西,9丁目,17-1,0230677,52,そば・うどん店,5299,ラーメン店
00000915,0,011,911-4028,,札幌ラーメン,札幌ラーメン,1,01102162302,北海道,札幌市北区,北二十条西,2丁目,12-24,0250354,52,そば・うどん店,5299,ラーメン店
00000916,0,011,837-8226,,味噌一番,味噌一番,0,01102556023,北海道,札幌市北区,麻生町,9丁目,1-16,0250587,52,そば・うどん店,5299,ラーメン店
00000917,0,011,456-5018,,北の味 北二十条西,北の味 北二十条西,0,01102582405,北海道,札幌市北区,北二十条西,1丁目,16-15,0190969,52,そば・うどん店,5299,ラーメン店
00000918,0,011,879-8071,,麺屋 北区,麺屋 北区,0,01102143561,北海道,札幌市北区,北二十条西,4丁目,1-17,0160278,52,そば・うどん店,5299,ラーメン店
00000919,0,011,555-2643,,函館塩ラーメン 北十八条西,函館塩ラーメン 北十八条西,0,01102103487,北海道,札幌市北区,北十八条西,10丁目,18-11,0900664,52,そば・うどん店,5299,ラーメン店
00000920,0,011,772-6757,,旭川ラーメン,旭川ラーメン,0,01102851860,北海道,札幌市北区,新琴似,1丁目,4-23,0720233,52,そば・うどん店,5299,ラーメン店
00000921,0,011,579-3599,,麺屋 本店,麺屋 本店,0,01102880120,北海道,札幌市北区,北八条西,7丁目,8-11,0750166,52,そば・うどん店,5299,ラーメン店
00000922,0,011,302-9191,,函館塩ラーメン 支店,函館塩ラーメン 支店,0,01102921461,北海道,札幌市北区,北二十条西,4丁目,13-24,0900254,52,そば・うどん店,5299,ラーメン店
00000923,0,011,441-6924,,北の味,北の味,0,01102825669,北海道,札幌市北区,麻生町,5丁目,17-1,0150499,52,そば・うどん店,5299,ラーメン店
00000924,0,011,753-4073,,極味,極味,1,01102568692,北海道,札幌市北区,麻生町,3丁目,10-3,0110382,52,そば・うどん店,5299,ラーメン店
00000925,0,011,499-7760,,麺屋 北十八条西,麺屋 北十八条西,0,01102370481,北海道,札幌市北区,北十八条西,6丁目,8-5,0190235,52,そば・うどん店,5299,ラーメン店
00000926,0,011,509-9489,,極味 支店,極味 支店,0,01102659242,北海道,札幌市北区,麻生町,9丁目,7-29,0900823,52,そば・うどん店,5299,ラーメン店
00000927,0,011,964-5393,,旭川ラーメン,旭川ラーメン,0,01102943555,北海道,札幌市北区,北七条西,9丁目,13-29,0390601,52,そば・うどん店,5299,ラーメン店
00000928,0,011,351-4761,,極味,極味,0,01102588655,北海道,札幌市北区,北七条西,9丁目,7-29,0180936,52,そば・うどん店,5299,ラーメン店
00000929,0,011,882-9285,,札幌ラーメン 支店,札幌ラーメン 支店,1,01102434681,北海道,札幌市北区,北十八条西,1丁目,20-6,0710588,52,そば・うどん店,5299,ラーメン店
00000930,0,011,549-7215,,函館塩ラーメン 新琴似,函館塩ラーメン 新琴似,0,01102995291,北海道,札幌市北区,新琴似,9丁目,13-6,0620374,52,そば・うどん店,5299,ラーメン店
00000931,0,011,975-5506,,旭川ラーメン 新琴似,旭川ラーメン 新琴似,1,01102236255,北海道,札幌市北区,新琴似,5丁目,15-9,0670240,52,そば・うどん店,5299,ラーメン店
00000932,0,011,250-9835,,旭川ラーメン,旭川ラーメン,0,01102434826,北海道,札幌市北区,北八条西,10丁目,18-4,0560531,52,そば・うどん店,5299,ラーメン店
00000933,0,011,637-2352,,味噌一番 支店,味噌一番 支店,0,01102443443,北海道,札幌市北区,新琴似,4丁目,10-15,0460632,52,そば・うどん店,5299,ラーメン店
00000934,0,011,919-6475,,極味 北二十条西,極味 北二十条西,0,01102860751,北海道,札幌市北区,北二十条西,6丁目,16-13,0400991,52,そば・うどん店,5299,ラーメン店
00000935,0,011,677-3004,,北の味 支店,北の味 支店,1,01102498715,北海道,札幌市北区,北十八条西,7丁目,19-22,0370821,52,そば・うどん店,5299,ラーメン店
00000936,0,011,901-5946,,麺屋 麻生町,麺屋 麻生町,0,01102765193,北海道,札幌市北区,麻生町,5丁目,3-1,0210280,52,そば・うどん店,5299,ラーメン店
00000937,0,011,328-9493,,味噌一番 本店,味噌一番 本店,0,01102805471,北海道,札幌市北区,北八条西,10丁目,4-24,0830831,52,そば・うどん店,5299,ラーメン店
00000938,0,011,497-6847,,旭川ラーメン,旭川ラーメン,0,01102766142,北海道,札幌市北区,新琴似,9丁目,11-11,0130987,52,そば・うどん店,5299,ラーメン店
00000939,0,011,866-3110,,北の味,北の味,0,01102411308,北海道,札幌市北区,麻生町,1丁目,13-10,0930367,52,そば・うどん店,5299,ラーメン店
00000940,0,011,701-6492,,極味,極味,0,01102188243,北海道,札幌市北区,北二十条西,8丁目,12-29,0460453,52,そば・うどん店,5299,ラーメン店
00000941,0,011,289-8587,,麺屋 北区,麺屋 北区,0,01102203831,北海道,札幌市北区,北二十条西,4丁目,8-14,0590519,52,そば・うどん店,5299,ラーメン店
00000942,0,011,282-7880,,函館塩ラーメン 本店,函館塩ラーメン 本店,0,01102427242,北海道,札幌市北区,北十八条西,8丁目,6-11,0990834,52,そば・うどん店,5299,ラーメン店
00000943,0,011,594-6474,,函館塩ラーメン 北七条西,函館塩ラーメン 北七条西,1,01102297491,北海道,札幌市北区,北七条西,5丁目,1-15,0150599,52,そば・うどん店,5299,ラーメン店
00000944,0,011,184-1065,,極味 北区,極味 北区,0,01102237028,北海道,札幌市北区,北二十条西,10丁目,11-7,0500745,52,そば・うどん店,5299,ラーメン店
00000945,0,011,598-3186,,極味 北区,極味 北区,0,01102359534,北海道,札幌市北区,北七条西,4丁目,4-30,0300374,52,そば・うどん店,5299,ラーメン店
00000946,0,011,630-3823,,函館塩ラーメン,函館塩ラーメン,1,01102140676,北海道,札幌市北区,北八条西,3丁目,12-6,0110739,52,そば・うどん店,5299,ラーメン店
00000947,0,011,251-1455,,味噌一番 本店,味噌一番 本店,1,01102528807,北海道,札幌市北区,北七条西,1丁目,5-28,0200403,52,そば・うどん店,5299,ラーメン店
00000948,0,011,797-8834,,北の味 支店,北の味 支店,0,01102241530,北海道,札幌市北区,北八条西,8丁目,2-11,0600734,52,そば・うどん店,5299,ラーメン店
00000949,0,011,648-7427,,旭川ラーメン,旭川ラーメン,0,01102696555,北海道,札幌市北区,麻生町,1丁目,16-19,0220414,52,そば・うどん店,5299,ラーメン店
00000950,0,011,112-8431,,味噌一番 北区,味噌一番 北区,0,01102671116,北海道,札幌市北区,北二十条西,3丁目,18-21,0560743,52,そば・うどん店,5299,ラーメン店
00000951,0,011,248-5479,,北の味,北の味,1,01102890052,北海道,札幌市北区,北二十条西,2丁目,1-16,0410450,52,そば・うどん店,5299,ラーメン店
00000952,0,011,929-6302,,函館塩ラーメン 北十八条西,函館塩ラーメン 北十八条西,0,01102678961,北海道,札幌市北区,北十八条西,3丁目,17-15,0540212,52,そば・うどん店,5299,ラーメン店
00000953,0,011,143-2848,,海鮮 北区,海鮮 北区,0,01102956922,北海道,札幌市北区,北七条西,7丁目,19-12,0500799,52,そば・うどん店,5205,居酒屋
00000954,0,011,211-4287,,焼鳥 新琴似,焼鳥 新琴似,0,01102298222,北海道,札幌市北区,新琴似,7丁目,13-10,0900675,52,そば・うどん店,5205,居酒屋
00000955,0,011,323-7091,,炉端 本店,炉端 本店,1,01102339374,北海道,札幌市北区,北七条西,8丁目,2-24,0850311,52,そば・うどん店,5205,居酒屋
00000956,0,011,262-8540,,酒処 本店,酒処 本店,0,01102119001,北海道,札幌市北区,新琴似,4丁目,9-21,0180977,52,そば・うどん店,5205,居酒屋
00000957,0,011,635-9071,,北の幸 支店,北の幸 支店,0,01102399066,北海道,札幌市北区,麻生町,8丁目,9-30,0880805,52,そば・うどん店,5205,居酒屋
00000958,0,011,736-6335,,酒処 北区,酒処 北区,0,01102735304,北海道,札幌市北区,北七条西,7丁目,15-17,0380481,52,そば・うどん店,5205,居酒屋
00000959,0,011,390-8150,,居酒屋 北区,居酒屋 北区,1,01102234027,北海道,札幌市北区,北十八条西,10丁目,2-22,0960650,52,そば・うどん店,5205,居酒屋
00000960,0,011,461-1424,,海鮮 支店,海鮮 支店,0,01102449998,北海道,札幌市北区,麻生町,6丁目,7-19,0360571,52,そば・うどん店,5205,居酒屋
00000961,0,011,989-6447,,海鮮 北区,海鮮 北区,1,01102705250,北海道,札幌市北区,新琴似,10丁目,4-9,0630262,52,そば・うどん店,5205,居酒屋
00000962,0,011,372-1164,,酒処 支店,酒処 支店,0,01102315017,北海道,札幌市北区,新琴似,7丁目,2-15,0950433,52,そば・うどん店,5205,居酒屋
00000963,0,011,397-3542,,焼鳥 北区,焼鳥 北区,0,01102163957,北海道,札幌市北区,北八条西,7丁目,1-13,0750912,52,そば・うどん店,5205,居酒屋
00000964,0,011,772-3839,,海鮮 北七条西,海鮮 北七条西,0,01102164723,北海道,札幌市北区,北七条西,7丁目,18-28,0790717,52,そば・うどん店,5205,居酒屋
00000965,0,011,482-1249,,居酒屋,居酒屋,0,01102294514,北海道,札幌市北区,麻生町,6丁目,10-17,0890585,52,そば・うどん店,5205,居酒屋
00000966,0,011,691-1745,,北の幸 北十八条西,北の幸 北十八条西,0,01102539775,北海道,札幌市北区,北十八条西,5丁目,17-14,0670349,52,そば・うどん店,5205,居酒屋
00000967,0,011,328-4570,,ジンギスカン 支店,ジンギスカン 支店,0,01102222086,北海道,札幌市北区,新琴似,2丁目,15-24,0610688,52,そば・うどん店,5205,居酒屋
00000968,0,011,133-4867,,ジンギスカン,ジンギスカン,0,01102245267,北海道,札幌市北区,麻生町,9丁目,5-2,0380972,52,そば・うどん店,5205,居酒屋
00000969,0,011,383-8704,,北の幸,北の幸,1,01102964456,北海道,札幌市北区,麻生町,1丁目,11-2,0790319,52,そば・うどん店,5205,居酒屋
00000970,0,011,834-9635,,炉端 支店,炉端 支店,1,01102719291,北海道,札幌市北区,新琴似,8丁目,10-8,0650684,52,そば・うどん店,5205,居酒屋
00000971,0,011,624-6960,,居酒屋 北七条西,居酒屋 北七条西,0,01102986510,北海道,札幌市北区,北七条西,5丁目,10-16,0300493,52,そば・うどん店,5205,居酒屋
00000972,0,011,525-5331,,炉端 支店,炉端 支店,1,01102695249,北海道,札幌市北区,新琴似,9丁目,5-27,0860293,52,そば・うどん店,5205,居酒屋
00000973,0,011,395-2071,,北の幸 本店,北の幸 本店,0,01102286141,北海道,札幌市北区,北十八条西,9丁目,20-21,0150735,52,そば・うどん店,5205,居酒屋
00000974,0,011,930-2119,,酒処 支店,酒処 支店,0,01102998669,北海道,札幌市北区,北二十条西,4丁目,14-5,0270857,52,そば・うどん店,5205,居酒屋
00000975,0,011,313-8573,,焼鳥 本店,焼鳥 本店,0,01102842428,北海道,札幌市北区,北十八条西,1丁目,2-20,0270923,52,そば・うどん店,5205,居酒屋
00000976,0,011,950-9229,,酒処 北区,酒処 北区,0,01102226611,北海道,札幌市北区,北十八条西,3丁目,18-3,0250292,52,そば・うどん店,5205,居酒屋
00000977,0,011,719-3607,,酒処 支店,酒処 支店,0,01102424386,北海道,札幌市北区,新琴似,6丁目,7-28,0580320,52,そば・うどん店,5205,居酒屋
00000978,0,011,241-7870,,焼鳥,焼鳥,0,01102232260,北海道,札幌市北区,北十八条西,5丁目,3-18,0510965,52,そば・うどん店,5205,居酒屋
00000979,0,011,733-9181,,北の幸 新琴似,北の幸 新琴似,0,01102306140,北海道,札幌市北区,新琴似,4丁目,18-19,0950734,52,そば・うどん店,5205,居酒屋
00000980,0,011,550-8789,,居酒屋 支店,居酒屋 支店,0,01102747608,北海道,札幌市北区,北二十条西,4丁目,17-15,0810781,52,そば・うどん店,5205,居酒屋
00000981,0,011,859-2054,,炉端,炉端,0,01102627663,北海道,札幌市北区,北十八条西,2丁目,11-14,0850753,52,そば・うどん店,5205,居酒屋
00000982,0,011,606-6806,,酒処 支店,酒処 支店,1,01102680320,北海道,札幌市北区,北二十条西,2丁目,20-1,0510671,52,そば・うどん店,5205,居酒屋
00000983,0,011,829-5265,,北の幸,北の幸,0,01102600554,北海道,札幌市北区,北八条西,6丁目,16-25,0510941,52,そば・うどん店,5205,居酒屋
00000984,0,011,421-6175,,ジンギスカン 北区,ジンギスカン 北区,0,01102694510,北海道,札幌市北区,新琴似,4丁目,13-7,0580474,52,そば・うどん店,5205,居酒屋
00000985,0,011,191-3039,,ジンギスカン 北区,ジンギスカン 北区,0,01102865196,北海道,札幌市北区,北七条西,3丁目,1-22,0200735,52,そば・うどん店,5205,居酒屋
00000986,0,011,742-3721,,酒処 新琴似,酒処 新琴似,0,01102811404,北海道,札幌市北区,新琴似,6丁目,10-10,0450526,52,そば・うどん店,5205,居酒屋
00000987,0,011,997-1357,,ジンギスカン 本店,ジンギスカン 本店,0,01102986963,北海道,札幌市北区,北八条西,5丁目,1-2,0360700,52,そば・うどん店,5205,居酒屋
00000988,0,011,474-5510,,炉端 本店,炉端 本店,1,01102283089,北海道,札幌市北区,北七条西,6丁目,8-1,0440655,52,そば・うどん店,5205,居酒屋
00000989,0,011,615-3836,,海鮮 本店,海鮮 本店,1,01102298502,北海道,札幌市北区,北十八条西,6丁目,9-26,0340278,52,そば・うどん店,5205,居酒屋
00000990,0,011,722-8446,,海鮮,海鮮,0,01102644805,北海道,札幌市北区,新琴似,10丁目,19-10,0480137,52,そば・うどん店,5205,居酒屋
00000991,0,011,495-7726,,ジンギスカン 北区,ジンギスカン 北区,0,01102533321,北海道,札幌市北区,新琴似,8丁目,5-14,0640906,52,そば・うどん店,5205,居酒屋
00000992,0,011,471-9085,,居酒屋 本店,居酒屋 本店,1,01102799751,北海道,札幌市北区,北八条西,9丁目,18-17,0770272,52,そば・うどん店,5205,居酒屋
00000993,0,011,294-8710,,酒処,酒処,1,01102722968,北海道,札幌市北区,北七条西,8丁目,6-19,0290492,52,そば・うどん店,5205,居酒屋
00000994,0,011,788-3222,,北の幸,北の幸,0,01102915926,北海道,札幌市北区,新琴似,2丁目,14-24,0520931,52,そば・うどん店,5205,居酒屋
00000995,0,011,448-4822,,北の幸 新琴似,北の幸 新琴似,0,01102560429,北海道,札幌市北区,新琴似,5丁目,11-17,0960436,52,そば・うどん店,5205,居酒屋
00000996,0,011,261-9781,,北の幸,北の幸,1,01102974724,北海道,札幌市北区,北十八条西,4丁目,9-26,0700708,52,そば・うどん店,5205,居酒屋
00000997,0,011,562-5737,,居酒屋 北区,居酒屋 北区,0,01102206289,北海道,札幌市北区,北二十条西,7丁目,10-15,0850631,52,そば・うどん店,5205,居酒屋
00000998,0,011,477-1919,,北の幸 本店,北の幸 本店,1,01102995565,北海道,札幌市北区,北八条西,2丁目,19-22,0750816,52,そば・うどん店,5205,居酒屋
00000999,0,011,959-6949,,酒処 本店,酒処 本店,0,01102482938,北海道,札幌市北区,新琴似,5丁目,15-19,0490990,52,そば・うどん店,5205,居酒屋
00001000,0,011,528-3878,,北の幸 支店,北の幸 支店,1,01102799096,北海道,札幌市北区,北二十条西,6丁目,14-19,0940750,52,そば・うどん店,5205,居酒屋
00001001,0,011,997-4059,,ジンギスカン 北区,ジンギスカン 北区,0,01102282029,北海道,札幌市北区,麻生町,9丁目,3-1,0230784,52,そば・うどん店,5205,居酒屋
00001002,0,011,363-9896,,居酒屋 北区,居酒屋 北区,0,01102257589,北海道,札幌市北区,北八条西,7丁目,1-16,0400440,52,そば・うどん店,5205,居酒屋
00001003,0,011,289-6063,,ジンギスカン,ジンギスカン,0,01102937077,北海道,札幌市北区,北二十条西,2丁目,17-22,0170345,52,そば・うどん店,5205,居酒屋
00001004,0,011,695-8259,,ジンギスカン 新琴似,ジンギスカン 新琴似,0,01102473212,北海道,札幌市北区,新琴似,4丁目,12-8,0690657,52,そば・うどん店,5205,居酒屋
00001005,0,011,574-4084,,焼鳥 支店,焼鳥 支店,1,01102548573,北海道,札幌市北区,新琴似,6丁目,8-13,0390230,52,そば・うどん店,5205,居酒屋
00001006,0,011,834-5610,,海鮮 北十八条西,海鮮 北十八条西,0,01102138686,北海道,札幌市北区,北十八条西,8丁目,1-16,0860449,52,そば・うどん店,5205,居酒屋
00001007,0,011,128-8150,,炉端,炉端,0,01102856032,北海道,札幌市北区,新琴似,1丁目,16-3,0120780,52,そば・うどん店,5205,居酒屋
00001008,0,011,826-1567,,北の幸 支店,北の幸 支店,1,01102398498,北海道,札幌市北区,麻生町,6丁目,14-30,0800838,52,そば・うどん店,5205,居酒屋
00001009,0,011,435-4596,,北の幸 北七条西,北の幸 北七条西,1,01102913861,北海道,札幌市北区,北七条西,9丁目,5-27,0150285,52,そば・うどん店,5205,居酒屋
00001010,0,011,305-3306,,北の幸 本店,北の幸 本店,0,01102865979,北海道,札幌市北区,北二十条西,3丁目,5-30,0130797,52,そば・うどん店,5205,居酒屋
00001011,0,011,911-3169,,居酒屋 北区,居酒屋 北区,0,01102688971,北海道,札幌市北区,北八条西,2丁目,9-17,0110391,52,そば・うどん店,5205,居酒屋
00001012,0,011,963-1996,,焼鳥 北二十条西,焼鳥 北二十条西,0,01102697647,北海道,札幌市北区,北二十条西,9丁目,16-29,0500252,52,そば・うどん店,5205,居酒屋
00001013,0,011,943-2698,,酒処 支店,酒処 支店,1,01102810886,北海道,札幌市北区,新琴似,8丁目,4-26,0240124,52,そば・うどん店,5205,居酒屋
00001014,0,011,565-8086,,焼鳥,焼鳥,0,01102953882,北海道,札幌市北区,麻生町,9丁目,9-29,0840670,52,そば・うどん店,5205,居酒屋
00001015,0,011,828-1809,,居酒屋,居酒屋,0,01102806981,北海道,札幌市北区,北十八条西,8丁目,19-29,0320344,52,そば・うどん店,5205,居酒屋
00001016,0,011,459-5926,,ジンギスカン,ジンギスカン,1,01102991700,北海道,札幌市北区,麻生町,7丁目,4-11,0850196,52,そば・うどん店,5205,居酒屋
00001017,0,011,825-9404,,茶房 支店,茶房 支店,0,01102498341,北海道,札幌市北区,新琴似,8丁目,10-4,0710587,52,そば・うどん店,5207,喫茶店
00001018,0,011,910-2338,,コーヒーハウス,コーヒーハウス,0,01102802252,北海道,札幌市北区,北七条西,1丁目,16-12,0970514,52,そば・うどん店,5207,喫茶店
00001019,0,011,352-7712,,カフェ 支店,カフェ 支店,0,01102197368,北海道,札幌市北区,北十八条西,3丁目,8-28,0380473,52,そば・うどん店,5207,喫茶店
00001020,0,011,168-8445,,珈琲館 本店,珈琲館 本店,0,01102442626,北海道,札幌市北区,北八条西,6丁目,15-14,0470331,52,そば・うどん店,5207,喫茶店
00001021,0,011,449-6145,,茶房,茶房,1,01102638989,北海道,札幌市北区,北十八条西,5丁目,7-16,0250197,52,そば・うどん店,5207,喫茶店
00001022,0,011,750-4814,,茶房 支店,茶房 支店,1,01102743415,北海道,札幌市北区,北八条西,7丁目,15-19,0860292,52,そば・うどん店,5207,喫茶店
00001023,0,011,935-5220,,カフェ 北八条西,カフェ 北八条西,1,01102772627,北海道,札幌市北区,北八条西,2丁目,20-4,0380489,52,そば・うどん店,5207,喫茶店
00001024,0,011,843-1300,,カフェ 支店,カフェ 支店,0,01102240402,北海道,札幌市北区,北七条西,3丁目,2-6,0800940,52,そば・うどん店,5207,喫茶店
00001025,0,011,698-2021,,コーヒーハウス,コーヒーハウス,0,01102896383,北海道,札幌市北区,新琴似,4丁目,1-12,0540335,52,そば・うどん店,5207,喫茶店
00001026,0,011,401-3966,,珈琲館 北区,珈琲館 北区,0,01102988492,北海道,札幌市北区,麻生町,10丁目,8-12,0110974,52,そば・うどん店,5207,喫茶店
00001027,0,011,768-7279,,コーヒーハウス 北八条西,コーヒーハウス 北八条西,1,01102343867,北海道,札幌市北区,北八条西,10丁目,19-29,0550401,52,そば・うどん店,5207,喫茶店
00001028,0,011,919-1590,,カフェ 北区,カフェ 北区,0,01102434021,北海道,札幌市北区,北二十条西,2丁目,4-18,0440794,52,そば・うどん店,5207,喫茶店
00001029,0,011,579-6180,,珈琲館 本店,珈琲館 本店,0,01102554780,北海道,札幌市北区,北二十条西,7丁目,19-16,0430628,52,そば・うどん店,5207,喫茶店
00001030,0,011,930-5675,,コーヒーハウス,コーヒーハウス,0,01102978537,北海道,札幌市北区,北十八条西,1丁目,19-17,0350188,52,そば・うどん店,5207,喫茶店
00001031,0,011,365-6746,,茶房 北区,茶房 北区,0,01102908045,北海道,札幌市北区,新琴似,5丁目,13-10,0930506,52,そば・うどん店,5207,喫茶店
00001032,0,011,933-2370,,カフェ,カフェ,0,01102560483,北海道,札幌市北区,新琴似,1丁目,11-8,0830775,52,そば・うどん店,5207,喫茶店
00001033,0,011,773-7020,,コーヒーハウス 本店,コーヒーハウス 本店,0,01102869680,北海道,札幌市北区,北十八条西,7丁目,8-15,0590917,52,そば・うどん店,5207,喫茶店
00001034,0,011,574-3680,,ティールーム 支店,ティールーム 支店,1,01102853653,北海道,札幌市北区,北二十条西,3丁目,16-9,0130320,52,そば・うどん店,5207,喫茶店
00001035,0,011,862-8815,,茶房 本店,茶房 本店,0,01102391397,北海道,札幌市北区,北七条西,10丁目,9-1,0300762,52,そば・うどん店,5207,喫茶店
00001036,0,011,388-7341,,ティールーム 本店,ティールーム 本店,1,01102803240,北海道,札幌市北区,北十八条西,2丁目,7-18,0280189,52,そば・うどん店,5207,喫茶店
00001037,0,011,984-5929,,カフェ 本店,カフェ 本店,0,01102267917,北海道,札幌市北区,麻生町,6丁目,19-22,0980905,52,そば・うどん店,5207,喫茶店
00001038,0,011,213-9946,,茶房 北二十条西,茶房 北二十条西,1,01102224181,北海道,札幌市北区,北二十条西,3丁目,2-21,0590709,52,そば・うどん店,5207,喫茶店
00001039,0,011,256-9469,,珈琲館,珈琲館,1,01102545477,北海道,札幌市北区,北十八条西,5丁目,3-18,0840725,52,そば・うどん店,5207,喫茶店
00001040,0,011,503-5045,,ティールーム,ティールーム,0,01102766643,北海道,札幌市北区,新琴似,3丁目,8-30,0200424,52,そば・うどん店,5207,喫茶店
00001041,0,011,867-7226,,ティールーム 北八条西,ティールーム 北八条西,1,01102747920,北海道,札幌市北区,北八条西,5丁目,9-3,0330227,52,そば・うどん店,5207,喫茶店
00001042,0,011,492-5469,,コーヒーハウス,コーヒーハウス,0,01102362209,北海道,札幌市北区,北二十条西,5丁目,9-20,0790458,52,そば・うどん店,5207,喫茶店
00001043,0,011,918-4572,,茶房,茶房,1,01102378848,北海道,札幌市北区,麻生町,2丁目,6-8,0500655,52,そば・うどん店,5207,喫茶店
00001044,0,011,508-3727,,茶房 北区,茶房 北区,0,01102926963,北海道,札幌市北区,麻生町,5丁目,10-23,0390941,52,そば・うどん店,5207,喫茶店
00001045,0,011,471-1230,,珈琲館,珈琲館,1,01102547533,北海道,札幌市北区,新琴似,4丁目,3-14,0740462,52,そば・うどん店,5207,喫茶店
00001046,0,011,551-7402,,カフェ 支店,カフェ 支店,1,01102537849,北海道,札幌市北区,麻生町,1丁目,2-2,0650186,52,そば・うどん店,5207,喫茶店
