入札日,開札日,ステータス,フェーズ,サブカテゴリ,機関タイプ,発注機関,発注地域,件名,年度,入札種別,落札会社名,落札金額,予定金額,応札企業,応札社数,リンク
2025-11-04,,結果待ち,⑤運用,,独法,独立行政法人量子科学技術研究開発機構,千葉県,生成AIを活用した原型炉保守・保全計画及び人材育成法の検討,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNU4yMDk5OTk3OQ==
2025-10-31,2025-11-19,落札済,④構築,AI（その他）,独法,独立行政法人情報処理推進機構,東京都,AIエージェントシステムに関する状況および評価方法の調査研究,FY2025,,株式会社エヌ・ティ・ティ・データ経営研究所,49280000,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjkyOTg1NA==
2025-10-31,,結果待ち,④構築,生成AI（その他）,国,防衛装備庁,東京都,令和７年度 代替案分析業務における生成ＡＩ機能の活用に関する検討役務,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNU4yMDkzMTI0MQ==
2025-10-31,,結果待ち,⑤運用,,その他,日本郵政グループ/日本郵政共済組合,埼玉県,ホームページ掲載用 FAQシステム及びチャットボット等自動応答サービス導入・ 運用支援業務の委託,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNU4yMDg3NjE4MQ==
,2025-10-30,落札済,⑤運用,,独法,国立大学法人,香川県,生成AIシステム(オプション機能) 利用契約,FY2025,,Ubie株式会社,17600000,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjg4MDE2NQ==
2025-10-30,2025-10-30,落札済,④構築,生成AIサービス導入,市区町村,その他愛知県市町村/大口町,愛知県,生成ＡＩサービス提供業務【大口町】,FY2025,,兼松エレクトロニクス株式会社 名古屋支店,74900,,"{応札企業名＝兼松エレクトロニクス株式会社　名古屋支店、応札結果・備考＝落札、応札金額＝74900},{応札企業名＝シフトプラス株式会社、応札結果・備考＝、応札金額＝94000},{応札企業名＝ＮＴＴドコモビジネス株式会社　東海支社、応札結果・備考＝、応札金額＝175400},{応札企業名＝株式会社イマクリエ、応札結果・備考＝、応札金額＝1810000}",12,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjYwNjE2Mw==
2025-10-30,,結果待ち,④構築,AI（その他）,独法,独立行政法人農業・食品産業技術総合研究機構,茨城県,調査レポート「Carbon Credit Market for Agriculture、 Forestry、 and Land Use - A Global and Regional Analysis: Analysis and Forecast、 2023-2033」 ほか,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNU4yMTAyMDc4OA==
2025-10-29,2025-10-30,落札済,④構築,生成AI（その他）,独法,独立行政法人海洋研究開発機構,神奈川県,気候学特化型マルチモーダル生成AIのチューニング支援,FY2025,,株式会社Ridge-i,22990000,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjc5OTc5OA==
2025-10-28,2025-10-29,落札済,④構築,生成AI（その他）,市区町村,茨城県市町村/鉾田市,茨城県,行政生成AIサービス【鉾田市】,FY2025,,株式会社電通総研,710000,1270000,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNzAyODE5Ng==
2025-10-27,,結果待ち,④構築,生成AI（その他）,独法,国立大学法人/愛媛大学,愛媛県,診療業務支援用生成AIシステム 一式,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNU4yMDk2ODkzMw==
,2025-10-24,落札済,④構築,生成AI（その他）,その他,日本政策金融公庫,東京都,スマートフォン及び生成AIを活用した面談記録作成アプリ等の調達（キッティング）,FY2025,,株式会社NTTドコモ,148500,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjg3NjA2Ng==
,2025-10-24,落札済,④構築,生成AI（その他）,その他,日本政策金融公庫,東京都,スマートフォン及び生成AIを活用した面談記録作成アプリ等の調達（付属品売買）,FY2025,,株式会社NTTドコモ,33000,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjg3NjA2NQ==
,2025-10-24,落札済,④構築,生成AI（その他）,その他,日本政策金融公庫,東京都,スマートフォン及び生成AIを活用した面談記録作成アプリ等の調達（役務）,FY2025,,株式会社NTTドコモ,393360,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjg3NjA2NA==
,2025-10-24,落札済,⑤運用,,その他,日本政策金融公庫,東京都,スマートフォン及び生成AIを活用した面談記録作成アプリ等の調達（サービス利用権売買）,FY2025,,株式会社NTTドコモ,3564000,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjg3NjA2Mw==
,2025-10-24,落札済,④構築,生成AI（その他）,市区町村,その他愛知県市町村/一宮市,愛知県,生成AIシステム構築業務委託【一宮市】,FY2025,,株式会社ソフトウェア・サービス,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjYxMTg2Mw==
2025-10-24,,結果待ち,④構築,生成AI（その他）,国,防衛省/海上自衛隊/補給本部,東京都,生成ＡＩ等を用いた業務効率化ツールの開発,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNU4yMDkwMzMzNA==
,2025-10-23,落札済,④構築,AI（その他）,独法,独立行政法人地域医療機能推進機構,神奈川県,生成Ａｉ看護記録システム,FY2025,,株式会社ＳＩＮＤ,13935478,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjg4NjcxOA==
,2025-10-23,落札済,⑤運用,,都道府県,東京都,東京都,認知症ポータルサイト「とうきょう認知症ナビ」リニューアル作成委託に係るチャットボットの拡張及び運用保守業務委託（福祉局追加分）,FY2025,,富士通Ｊａｐａｎ株式会社,5749810,,{応札企業名＝富士通Ｊａｐａｎ株式会社、応札結果・備考＝、応札金額＝5227100},3,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjU4MTMwNQ==
,2025-10-22,落札済,④構築,生成AI（その他）,その他,放送大学学園,千葉県,生成AIによるテスト問題・類題案作成支援ツール開発業務,FY2025,,株式会社アルベッジ,1980000,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjcyMTA0NA==
,2025-10-21,落札済,③PoC,,その他,日本郵政グループ,東京都,生成ＡＩによる自動音声回答導入に向けた実証実験の実施,FY2025,,富士通株式会社,4939000,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjc1Nzk5Mw==
2025-10-21,,結果待ち,③PoC,,その他,日本郵政グループ/株式会社ゆうちょ銀行,東京都,生成AIによる自動音声回答導入に向けた実証実験の実施,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNU4yMDY2MDg0NQ==
,2025-10-17,落札済,④構築,生成AI（その他）,独法,独立行政法人新エネルギー・産業技術総合開発機構,神奈川県,ポスト５Ｇ情報通信システム基盤強化研究開発事業（ロボティクスＡＩ基盤モデル）ロボティクス分野の生成ＡＩ基盤モデルの開発に向けたデータプラットフォームに係る開発ＡＩロボット社会実装用データセット構築と基盤／個別モデル開発,FY2025,,一般社団法人ＡＩロボット協会,14967146100,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjkyOTc2NA==
,2025-10-17,落札済,④構築,生成AI（その他）,独法,独立行政法人国立病院機構,福岡県,生成AIサービスソフト 1式の構築業務,FY2025,,Ubie株式会社,5975200,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjY0OTY4MQ==
2025-10-15,2025-10-24,落札済,④構築,生成AIサービス導入,市区町村,島根県市町村/浜田市,島根県,浜田市自治体生成ＡＩサービス提供業務【浜田市】,FY2025,,シフトプラス株式会社,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjY0MzI5Mg==
2025-10-15,2025-10-21,落札済,④構築,生成AIサービス導入,独法,独立行政法人宇宙航空研究開発機構,東京都,2025年度生成AI利用環境の提供と安全・ミッション保証業務等における活用方法開発業務,FY2025,,富士通株式会社,4279000,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjg3NTA4Mg==
2025-10-15,,結果待ち,④構築,チャットボット,市区町村,その他熊本県市町村/菊池市,熊本県,菊池市AIチャットボット利用【菊池市】,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNU4yMDg5NDg2OA==
2025-10-15,,結果待ち,④構築,生成AIサービス導入,独法,独立行政法人国立病院機構/九州グループ/九州がんセンター,福岡県,生成AIサービスソフト 1式 構築業務 ※既存電子カルテに連動した文書等の作成ソフト導入,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNU4yMDg5NDE0NA==
2025-10-14,2025-10-31,落札済,④構築,生成AIサービス導入,国,デジタル庁,東京都,行政機関への効果的な生成AIの導入等に関する調査,FY2025,,ＰｗＣコンサルティング合同会社,36711000,36711000,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjgwMDMwOQ==
,2025-10-14,落札済,④構築,生成AIサービス導入,市区町村,富山県市町村/富山市,富山県,令和７年度富山市生成AIプラットフォームサービス提供業務【富山市】,FY2025,,ＮＴＴドコモビジネス株式会社 北陸支社,1060000,1363637,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjc3ODAyMg==
2025-10-14,2025-10-14,落札済,④構築,RAG構築,市区町村,横浜市,神奈川県,RAG機能と高度モデルを備えた生成AIサービスの提供及び活用支援業務委託【横浜市】,FY2025,,株式会社エクサウィザーズ,5261600,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjYyNzc1Mg==
2025-10-10,,結果待ち,④構築,AI（その他）,市区町村,京都市,京都府,書籍（ＬＬＭのプロンプトエンジニアリング 他）【京都市】,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNU4yMDkzNzE1Ng==
2025-10-09,,結果待ち,④構築,生成AI（その他）,市区町村,三重県市町村/桑名市,三重県,生成AIサービス一式【桑名市】,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNU4yMDg1ODk1MA==
,2025-10-08,落札済,④構築,生成AIサービス導入,市区町村,その他兵庫県市町村/播磨町,兵庫県,播磨町生成AIサービス提供業務【播磨町】,FY2025,,シフトプラス株式会社,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjYzNTQ4NQ==
2025-10-08,,結果待ち,⑤運用,,その他,全国健康保険協会,東京都,チャットボットの構成・運用保守業務委託,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNU4yMDg2NzcxMQ==
2025-10-08,,結果待ち,④構築,チャットボット,独法,独立行政法人国立環境研究所,茨城県,令和7年度気候変動適応情報プラットフォームのWebGISの機能拡充、およびチャットボットを利用したサイト案内機能に関する検討業務,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNU4yMDgyNTEzNA==
2025-10-07,2025-10-08,落札済,⑤運用,,独法,独立行政法人情報通信研究機構,東京都,2025年 機械学習AIおよび生成AI(RAG）構築、およびそれらの運用監視用クラウド仮想基盤ライセンス調達,FY2025,,株式会社日立システムズ,16467000,16995000,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjg4Nzg4Mw==
2025-10-07,,結果待ち,④構築,AI（その他）,市区町村,京都市,京都府,ＣｈａｔＧＰＴ Ｔｅａｍ【京都市】,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNU4yMDkwMjkwNA==
2025-10-07,,結果待ち,④構築,生成AI（その他）,市区町村,その他愛知県市町村/一宮市,愛知県,一宮市立市民病院生成AIシステム構築業務委託【一宮市】,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNU4yMDc3OTk3Mw==
,2025-10-03,落札済,④構築,生成AI（その他）,その他,日本政策金融公庫,東京都,スマートフォン及び生成AIを活用した面談記録作成アプリ等の調達（サービス）,FY2025,,株式会社NTTドコモ,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjg3NjA0OQ==
2025-10-03,,結果待ち,④構築,生成AI（その他）,都道府県,茨城県,茨城県,令和7年度文章生成AIサービス(第２期)提供業務(変更契約),FY2025,随意,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNU4yMDkwNDE0NA==
,2025-10-02,落札済,⑤運用,,都道府県,東京都,東京都,都立学校向け生成AI 利用サービスにおける機能改修・保守・運用等業務委託,FY2025,,コニカミノルタジャパン株式会社,180730000,,{応札企業名＝コニカミノルタジャパン株式会社、応札結果・備考＝、応札金額＝164300000},3,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjQ5NjI0Nw==
2025-10-01,2025-10-01,落札済,④構築,RAG構築,独法,独立行政法人新エネルギー・産業技術総合開発機構,神奈川県,「ポスト5G情報通信システ厶基盤強化研究開発事業／生成AI開発加速に向けたデータ・生成AIの利活用に係る調査」メディアの高品質な知識資産を活用したRAGデータベースの構築と利用実績等に基づいたフェアな対価還元エコシステムに関する調査,FY2025,,note 株式会社,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjkyOTg0MA==
,2025-10-01,落札済,⑤運用,,都道府県,岐阜県,岐阜県,令和７年度岐阜県ＡＩチャットボットシステム構築・運用・保守委託,FY2025,,プレイネクストラボ株式会社 代表取締役社長 柏 匠,10153000,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjY0NTM5MA==
2025-10-01,,結果待ち,④構築,チャットボット,都道府県,宮城県,宮城県,令和7年度宮城県宿泊税に関するAIチャットボットサービス導入業務,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNU4yMDc5Mjk3MQ==
,2025-09-30,落札済,④構築,RAG構築,国,防衛省,東京都,魚雷用部品 ＯＴＴＯ ＦＵＥＬ Ⅱ ＳＴＲＡＧＥ ＣＯＮＴＡＩＮＥＲ ほか,FY2025,,エムエイチアイオーシャニクス株式会社 代理 株式会社ヨネイ十条営業所,232010900,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjczNjM5MQ==
,2025-09-30,落札済,④構築,生成AIサービス導入,その他,原子力規制委員会,東京都,令和７年度Ｇｏｏｇｌｅ版生成ＡＩの利用環境及び開発環境の導入,FY2025,,株式会社日立システムズ,16412000,16412000,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjYyNzM0Nw==
2025-09-29,,結果待ち,④構築,生成AIサービス導入,独法,独立行政法人国立環境研究所,茨城県,令和７年度国立環境研究所生成AI導入支援業務,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNU4yMDc5MjQ0Mg==
2025-09-26,2025-10-01,落札済,④構築,生成AIサービス導入,市区町村,長野県市町村/千曲市,長野県,令和7年度千曲市生成AIサービス導入事業【千曲市】,FY2025,,株式会社イマクリエ,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjU0OTc1NQ==
,2025-09-26,落札済,④構築,生成AI（その他）,独法,独立行政法人理化学研究所,埼玉県,タンパク質構造を考慮した薬物深層生成AIモデルにおける多目的指標の性能改善,FY2025,,エピストラ株式会社,8000000,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjYzODM0OQ==
,2025-09-26,落札済,④構築,チャットボット,国,厚生労働省,東京都,チャットボットを利用したサービス提供業務（令和７年10年~令和13年４月） 一式,FY2025,,富士通株式会社,198000000,706490000,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjYxNzk4Mg==
,2025-09-26,落札済,④構築,AI（その他）,独法,独立行政法人情報通信研究機構,東京都,革新的情報通信技術（Beyond 5G（6G））基金事業 要素技術・シーズ創出型プログラム 令和7年度新規委託研究（Beyond 5G時代の高信頼マルチモーダル会話AIエージェントの自動評価基盤の研究）,FY2025,,株式会社エキュメノポリス,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjUzNDM5NA==
2025-09-26,,結果待ち,④構築,生成AIサービス導入,市区町村,その他兵庫県市町村/播磨町,兵庫県,播磨町生成ＡＩサービス提供業務の選定【播磨町】,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNU4yMDc5MzA3MQ==
2025-09-26,,結果待ち,④構築,生成AI（その他）,都道府県,鳥取県,鳥取県,生成AI 活用の普及及びサイバーセキュリティ強化支援業務,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNU4yMDc1MzI0OA==
2025-09-25,2025-09-25,落札済,⑤運用,,市区町村,奈良県市町村/奈良市,奈良県,生成AIサービスのライセンス調達及び利用契約【奈良市】,FY2025,,株式会社イマクリエ,1202300,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjUzNTcyOA==
,2025-09-24,落札済,④構築,チャットボット,都道府県,大分県,大分県,大分県AIチャットボット導入業務委託,FY2025,,合同会社EasyDialog,7942000,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNzA2NTA5MA==
,2025-09-24,落札済,③PoC,,国,防衛装備庁,東京都,生成ＡＩによるＣＯＧ分析作業支援に関する概念実証役務１件,FY2025,,スカイゲートテクノロジズ株式会社,1,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjc3NDg0OQ==
2025-09-24,2025-09-24,落札済,⑤運用,,都道府県,東京都,東京都,ＴＡＩＭＳ用生成ＡＩツールライセンスの買入れ,FY2025,,株式会社大塚商会,509297184,,"{応札企業名＝株式会社大塚商会、応札結果・備考＝、応札金額＝462997440},{応札企業名＝リコージャパン株式会社、応札結果・備考＝辞退、応札金額＝}",6,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjQ0NDA1Nw==
2025-09-24,,結果待ち,④構築,活用支援・コンサル,その他,日本郵政グループ/株式会社ゆうちょ銀行,東京都,リスク管理業務における生成AIの利活用促進に係るコンサルティング業務の委託,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNU4yMDc2MzAzOQ==
,2025-09-22,落札済,④構築,生成AI（その他）,独法,独立行政法人防災科学技術研究所,茨城県,「生成ＡＩを活用した被災者支援サービス開発基盤」主幹機能開発業務 一式,FY2025,,富士通株式会社,199100000,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjc1NzU1Ng==
2025-09-19,2025-10-22,落札済,⑤運用,,市区町村,長崎県市町村/諫早市,長崎県,諫早市生成AIサービス利用環境構築業務【諫早市】,FY2025,,株式会社電通総研,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjY0Njc2Mg==
,2025-09-19,落札済,④構築,生成AI（その他）,独法,独立行政法人国立病院機構,愛知県,退院サマリ生成ＡＩ要約,FY2025,,富士通Japan株式会社,6496600,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjg3ODgxNQ==
2025-09-19,2025-09-19,落札済,⑤運用,,独法,独立行政法人日本原子力研究開発機構,茨城県,研究開発成果検索閲覧システムのAPIを使用した生成AIによる対話型検索プラットフォームの試験構築運用,FY2025,,ニューチェーンテクノロジーズ株式会社,4180000,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjY1NjM0Mw==
,2025-09-19,落札済,④構築,生成AI（その他）,市区町村,神戸市,兵庫県,生成AIの活用可能性検討業務【神戸市】,FY2025,,富士通Japan株式会社関西・中部公共ビジネス総括部,3300000,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjYyMjE1OA==
,2025-09-19,落札済,④構築,生成AI（その他）,都道府県,佐賀県,佐賀県,産業技術学院在職者訓練（生成AI関係）実施業務,FY2025,,がばいAIコンサルティング株式会社,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjQ3MzAzOQ==
,2025-09-18,落札済,④構築,RAG構築,独法,独立行政法人日本貿易振興機構,東京都,「FHA 2026 Food & Beverage」ジャパンパビリオンの設計・監理等,FY2025,,株式会社アライズ,1783200,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjc2MDEwNQ==
,2025-09-18,落札済,①研修,,市区町村,岡山市,岡山県,令和7年度生成AIプロンプト研修業務委託【岡山市】,FY2025,,株式会社インソース,496000,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjQ3Mzk5MQ==
2025-09-18,,結果待ち,④構築,生成AI（その他）,市区町村,島根県市町村/松江市,島根県,生成ＡＩサービス調達業務【松江市】,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNU4yMDg1MzgyMg==
2025-09-16,,結果待ち,④構築,チャットボット,都道府県,静岡県,静岡県,AIチャットボット導入等業務委託,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNU4yMDcyMzk1Mg==
2025-09-12,2025-09-17,落札済,⑤運用,,国,会計検査院,東京都,生成AI活用のためのアプリケーション運用保守、機能追加等業務,FY2025,,株式会社ＷＥＥＬ,11495000,12265000,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjcyMTAwNQ==
,2025-09-12,落札済,④構築,生成AI（その他）,その他,日本政策金融公庫,東京都,生成AIガイドライン・ガバナンス態勢構築に係る助言業務(一式),FY2025,,KPMGコンサルティング株式会社,3300000,3300000,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjY0MjI5OQ==
,2025-09-12,落札済,③PoC,,国,文部科学省,東京都,セキュアな環境における生成AIの校務利用の実証研究事業（（Ⅶ）GIGAスクール構想の下での校務DXに係る調査研究）,FY2025,,NTTExCパートナー株式会社,25300000,39600000,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjYzMzgwOA==
,2025-09-11,落札済,⑤運用,,都道府県,東京都,東京都,教育庁ヘルプデスクチャットボット運用業務委託（２）,FY2025,,株式会社スカラコミュニケーションズ,5959800,,{応札企業名＝株式会社スカラコミュニケーションズ、応札結果・備考＝、応札金額＝5418000},3,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjM4NzU4Mg==
2025-09-09,2025-09-26,落札済,④構築,チャットボット,独法,日本年金機構,東京都,チャットボットを利用したサービス提供業務(令和7年10月～令和13年4月) 一式,FY2025,,富士通株式会社,198000000,706490000,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjY0MjEwNw==
2025-09-09,,結果待ち,①研修,,市区町村,岡山市,岡山県,令和7年度生成AIプロンプト研修業務委託（デジタル推進課）【岡山市】,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNU4yMDc2Mjg2Mg==
2025-09-08,2025-10-14,落札済,④構築,生成AIサービス導入,市区町村,その他兵庫県市町村/豊岡市,兵庫県,豊岡市生成AIサービス導入業務【豊岡市】,FY2025,,シフトプラス株式会社,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjYzOTI5MQ==
2025-09-08,2025-09-10,落札済,④構築,RAG構築,独法,独立行政法人日本貿易振興機構,東京都,「FHA 2026 Food ＆ Beverage」ジャパンパビリオンの設計・監理等,FY2025,,株式会社アライズ,1687000,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjQyMDcyNw==
,2025-09-08,落札済,④構築,生成AI（その他）,都道府県,静岡県,静岡県,令和7年度静岡県生成AI等チャレンジ事業(自動車産業)業務委託,FY2025,,ヤマハモーターエンジニアリング株式会社,4931520,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjYxNjAxMw==
,2025-09-05,落札済,④構築,生成AI（その他）,国,特許庁,東京都,令和７年度特許庁メール応対業務における生成AI・モダン技術の活用に関する調査分析事業 一式,FY2025,,株式会社ＮＴＴデータ,46253078,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjczNTYwMQ==
,2025-09-05,落札済,④構築,チャットボット,独法,国立大学法人,福岡県,ＡＩチャットボット開発支援のためのアプリケーション構築,FY2025,,株式会社Ｆｕｓｉｃ,9048600,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjU3MzA2OQ==
2025-09-05,,結果待ち,④構築,生成AI（その他）,都道府県,佐賀県,佐賀県,産業技術学院 令和7年度在職者訓練（生成AI関係）,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNU4yMDY5OTEzNg==
2025-09-05,,結果待ち,④構築,チャットボット,独法,国立大学法人/九州大学,福岡県,AIチャットボット開発支援のためのアプリケーション構築 一式,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNU4yMDYzNTg1MQ==
,2025-09-04,落札済,④構築,RAG構築,独法,独立行政法人新エネルギー・産業技術総合開発機構,神奈川県,2025年度「新エネルギー等のシーズ発掘・事業化に向けた技術研究開発事業」自然冷媒（CO2）を用いたPumped Thermal Energy Storage (PTES)システムの開発,FY2025,,ESREE Energy株式会社,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjQ2NDM0OQ==
,2025-09-02,落札済,⑤運用,,その他,日本政策金融公庫,東京都,令和7年度下期ChatGPTに係るAzure利用料及び保守の調達（保守）(一式),FY2025,,株式会社システムサポート,1947000,1947000,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjY0MjI5MQ==
,2025-09-02,落札済,⑤運用,,その他,日本政策金融公庫,東京都,令和7年度下期ChatGPTに係るAzure利用料及び保守の調達（サービス利用）(一式),FY2025,,株式会社システムサポート,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjY0MjI5MA==
2025-09-02,,結果待ち,④構築,活用支援・コンサル,都道府県,滋賀県,滋賀県,令和7年度生成AIサービス提供および活用支援業務,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNU4yMDcxOTIyMg==
