問い合わせ番号,ステータス,発注機関,機関タイプ,発注地域,件名,フェーズ,サブカテゴリ,年度,入札種別,案件登録日,入札日,開札日,落札会社名,落札金額,落札金額(数値),予定金額,応札企業,応札社数,ノイズ判定,重複除外,採用レコード
N20176990,入札中,その他北海道市町村/網走市,都道府県,北海道,網走市 CIO補佐官（生成AI利活用伴走支援）業務【網走市】,④構築,活用支援・コンサル,FY2025,競争・公募,2025-05-01,2025-06-06,,,,,,,,,,○
R26451003,落札結果,独立行政法人国際協力機構,独法,東京都,OFFICE RENT AND GENERAL FEE (INVERCASA) FOR JICA NICARAGUA OFFICE (01/05/2025 - 30/04/2035),④構築,RAG構築,,,,,2025-05-01,DESARROLLADORA BONANZAS DE CENTROAMERICA， SOCIEDAD ANONIMA （DEBOCASA）,51901372,51901372,,,,,,○
R26450895,落札結果,独立行政法人国際協力機構,独法,東京都,Contract for local consultant/expert of the project for Promoting Inclusive Participation Leveraging Community Engagement Platform until February 2027,④構築,RAG構築,,,,,2025-05-01,個人,5781567,5781567,,,,,,○
R25980153,落札結果,国立大学法人,独法,山形県,exaBase 生成AI for アカデミー（山形大学向け活用支援付き）,④構築,活用支援・コンサル,,,,,2025-05-01,株式会社Exa Enterprise AI,2222000,2222000,,,,,,○
R25622536,落札結果,東京都,都道府県,東京都,チャットボットの拡張及び運用保守業務委託（教育庁追加分）,⑤運用,,,,,,2025-05-01,不調,,,,{応札企業名＝富士通Ｊａｐａｎ株式会社、応札結果・備考＝不参、応札金額＝},3,,,○
N20172833,入札中,京都市,市区町村,京都府,業務利活用のための生成AIサービス提供事業者【京都市】,④構築,生成AIサービス導入,FY2025,競争・公募,2025-04-30,2025-05-28,,,,,,,,,,○
N20172623,入札中,その他大阪府市町村/東大阪市,市区町村,大阪府,生成AIサービス提供業務【東大阪市】,④構築,生成AIサービス導入,FY2025,競争・公募,2025-04-30,2025-05-26,,,,,,,,,,○
R25838595,落札結果,千葉県,都道府県,千葉県,千葉県生成ＡＩ利用サービス提供業務一式,④構築,生成AI（その他）,,,,,2025-04-30,東日本電信電話株式会社,37221444,37221444,,,,,,○
R25801489,落札結果,文部科学省,国,東京都,セキュアな環境における生成 AI の校務利用の実証研究事業（追加公告）,③PoC,,,,,,2025-04-28,株式会社NTTExCパートナー,20350000,20350000,22487722,,,,,○
R26591766,落札結果,警察庁,国,東京都,生成ＡＩ利用環境の運用に係る支援業務,⑤運用,,,,,,2025-04-25,富士通株式会社,6732000,6732000,,,,,,○
R26288776,落札結果,その他/国家公務員共済組合連合会,その他,東京都,ＡＩ及び生成ＡＩを活用したＦＡＱ検索システム構築業務,④構築,生成AI（その他）,,,,,2025-04-25,ワークスアイディ株式会社東京本社,41924080,41924080,,,,,,○
N20149979,入札中,その他,その他,全国,【米軍案件】SHIPPING AND STORAG,④構築,RAG構築,FY2025,競争・公募,2025-04-24,,,,,,,,,,,○
N20147465,入札中,愛知県,都道府県,愛知県,生成ＡＩ活用支援業務,④構築,活用支援・コンサル,FY2025,競争・公募,2025-04-24,2025-05-14,,,,,,,,,,○
R25771205,落札結果,その他愛知県市町村/豊田市,市区町村,愛知県,複数大規模言語モデルの並行利用が可能な生 成AI使用許諾 数量:1式【豊田市】,④構築,AI（その他）,,,,,2025-04-24,エムシーデジタル株式会社,907500,907500,,,,,,○
N20143033,入札中,その他,その他,全国,【米軍案件】SHIPPING AND STORAG,④構築,RAG構築,FY2025,競争・公募,2025-04-23,,,,,,,,,,,○
R25709144,落札結果,和歌山県,都道府県,和歌山県,令和7年度生成AI実践講習企画運営業務,④構築,生成AI（その他）,,,,,2025-04-23,株式会社SIGNATE,,,,,,,,○
R25709143,落札結果,和歌山県,都道府県,和歌山県,令和7年度生成AI活用講習企画運営業務,④構築,生成AI（その他）,,,,,2025-04-23,株式会社Hakuhodo DY ONE,,,,,,,,○
N20134533,入札中,国土交通省/四国技術事務所,その他,香川県,令和７年度 チャットボットサービス構築作業,④構築,チャットボット,FY2025,競争・公募,2025-04-22,2025-05-26,,,,,,,,,,○
N20131510,入札中,北九州市,市区町村,福岡県,令和7年度生成AIサービス提供業務【北九州市】,④構築,生成AIサービス導入,FY2025,競争・公募,2025-04-22,2025-05-20,,,,,,,,,,○
R26057012,落札結果,福島県,都道府県,福島県,生成AIサービス導入支援業務委託,④構築,生成AIサービス導入,,,,,2025-04-22,東日本電信電話株式会社宮城事業部福島支店,,,,,,,,○
R25961591,落札結果,警察庁,国,東京都,生成ＡＩ利用環境の運用に係る支援業務 一式,⑤運用,,,,,,2025-04-22,富士通株式会社,6732000,6732000,,,,,,○
N20128899,入札中,三重県,都道府県,三重県,生成ＡＩソフトウェアライセンス提供業務,⑤運用,,FY2025,競争・公募,2025-04-21,2025-05-08,,,,,,,,,,○
R26195541,落札結果,独立行政法人宇宙航空研究開発機構,独法,東京都,2025年度戦略的国際共同Dragonflyミッション地震計開発S&MAおよび技術支援業務,④構築,RAG構築,,,,,2025-04-21,ＨＩＲＥＣ株式会社,2695000,2695000,,,,,,○
R26067149,落札結果,独立行政法人産業技術総合研究所,独法,茨城県,農薬評価書用チャットボット候補の高精度化及び、最適な活用方法の探索 1式,④構築,チャットボット,,,,,2025-04-21,みずほリサーチ＆テクノロジーズ株式会社,3850000,3850000,,,,,,○
R25573586,落札結果,名古屋市,市区町村,愛知県,テキスト生成ＡＩサービス提供業務委託【名古屋市】,④構築,生成AI（その他）,,,,,2025-04-21,エヌ・ティ・ティ・コミュニケーションズ株式会社 東海支社,1192000,1192000,,"{応札企業名＝エヌ・ティ・ティ・コミュニケーションズ株式会社　東海支社、応札結果・備考＝入札書記載金額結果:落札(第1回~第3回は入札書記載金額)、応札金額＝1192000},{応札企業名＝株式会社イマクリエ、応札結果・備考＝(第1回~第3回は入札書記載金額)、応札金額＝1350000}",6,,,○
N20121008,入札中,国立大学法人/東北大学,独法,宮城県,㈱米倉製作所製 AG取付用集光加熱装置 HP10T3V for AG 一式,④構築,AI（その他）,FY2025,競争・公募,2025-04-18,2025-05-21,,,,,,,,,,○
N20119736,入札中,その他,その他,全国,【米軍案件】SHIPPING AND STORAG,④構築,RAG構築,FY2025,競争・公募,2025-04-18,,,,,,,,,,,○
N20118029,入札中,その他大阪府市町村/泉大津市,市区町村,大阪府,泉大津市生成AIサービス導入業務【泉大津市】,④構築,生成AIサービス導入,FY2025,競争・公募,2025-04-18,2025-05-15,,,,,,,,,,○
R25841692,落札結果,文部科学省,国,東京都,学びの充実など教育課題の解決に向けた教育分野特化の生成 AI の実証研究事業,③PoC,,,,,,2025-04-18,デロイトトーマツコンサルティング合同会社,305800000,305800000,305800000,,,,,○
N20114937,入札中,国土交通省/大阪空港事務所,,"大阪府,兵庫県",令和7年度但馬RAG局舎発電設備保守業務,,,,競争・公募,2025-04-17,2025-05-02,,,,,,,,ノイズ,,
N20112982,入札中,その他,その他,全国,【米軍案件】SHIPPING AND STORAG,④構築,RAG構築,FY2025,競争・公募,2025-04-17,,,,,,,,,,,○
N20112981,入札中,その他,その他,全国,【米軍案件】SHIPPING AND STORAG,④構築,RAG構築,FY2025,競争・公募,2025-04-17,,,,,,,,,,,○
N20112978,入札中,その他,その他,全国,【米軍案件】SHIPPING AND STORAG,④構築,RAG構築,FY2025,競争・公募,2025-04-17,,,,,,,,,,,○
N20112910,入札中,その他,その他,全国,【米軍案件】SHIPPING AND STORAG,④構築,RAG構築,FY2025,競争・公募,2025-04-17,,,,,,,,,,,○
N20109752,入札中,岩手県,都道府県,岩手県,令和7年度北いわて生成AI活用人材育成業務,④構築,生成AI（その他）,FY2025,競争・公募,2025-04-17,2025-05-20,,,,,,,,,,○
N20108723,入札中,茨城県,都道府県,茨城県,令和７年度文章生成AIサービス(第２期)提供業務,④構築,生成AI（その他）,FY2025,競争・公募,2025-04-17,2025-05-13,,,,,,,,,,○
N20108079,入札中,日本銀行,その他,東京都,D25-008・対話型生成AIサービスの提供,④構築,生成AI（その他）,FY2025,競争・公募,2025-04-16,2025-07-02,,,,,,,,,,○
N20105303,入札中,農林水産省/九州農政局,その他,熊本県,令和７年度生成AIサービス提供業務,④構築,生成AIサービス導入,FY2025,競争・公募,2025-04-16,2025-05-21,,,,,,,,,,○
N20105155,入札中,国土交通省/那覇空港事務所,その他,沖縄県,令和7年度与那国RAGサイト外2か所除草作業,④構築,RAG構築,FY2025,競争・公募,2025-04-16,2025-05-28,,,,,,,,,,○
N20103357,入札中,岡山県,都道府県,岡山県,令和７年度生成ＡＩを活用した学びのサイクル実証事業業務委託,③PoC,,FY2025,競争・公募,2025-04-16,2025-05-09,,,,,,,,,,○
R26094978,落札結果,香川県,都道府県,香川県,「データ分析・ChatGPT活用人材養成講座」開催事業業務委託,①研修,,,,,,2025-04-16,株式会社ブリューアス,10439000,10439000,,,,,,○
R25861442,落札結果,文部科学省,国,東京都,生成AIの活用を通じた教育課題の解決・教育DXの加速（事業Ⅰ学校現場における生成AIの利活用に関する調査研究事業）の委託契約について,④構築,教育・学校AI,,,,,2025-04-16,株式会社ＮＴＴ ＥｘＣパートナー,41800000,41800000,47264347,,,,,○
N20099296,入札中,神奈川県,都道府県,神奈川県,県税問合せ用ＡＩチャットボットサービスの導入及び運用保守業務委託,⑤運用,,FY2025,競争・公募,2025-04-15,2025-05-14,,,,,,,,,,○
N20088173,入札中,その他,,全国,【米軍案件】DIAPHRAGM STUFF BOX,,,,競争・公募,2025-04-14,,,,,,,,,ノイズ,,
R26914927,落札結果,日本年金機構,独法,東京都,内部事務の効率化に向けた生成ＡＩ活用による技術検証 一式,③PoC,,,,,,2025-04-14,株式会社ＮＴＴデータ,57999700,57999700,57999700,,,,,○
R26564685,落札結果,熊本市,,熊本県,Jabra GN AT3双頭プラグアンプ 2個 他1件（施設管理班）【熊本市】,,,,,,,2025-04-14,米善機工 株式会社,46200,46200,,,,ノイズ,,
R26055995,落札結果,日本年金機構,独法,東京都,内部事務の効率化に向けた生成ＡＩ活用による技術検証 一式,③PoC,,,,,,2025-04-14,株式会社ＮＴＴデータ,57999700,57999700,57999700,,,,,○
R25861441,落札結果,文部科学省,国,東京都,生成AIの活用を通じた教育課題の解決・教育DXの加速（事業II生成AIパイロット校の指定を通じた事例創出事業）,③PoC,,,,,,2025-04-14,株式会社内田洋行,132000000,132000000,139700994,,,,,○
R25797781,落札結果,厚生労働省,国,東京都,内部事務の効率化に向けた生成ＡＩ活用による技術検証 一式,③PoC,,,,,,2025-04-14,株式会社ＮＴＴデータ,57999700,57999700,57999700,,,,,○
R25530040,落札結果,その他千葉県市町村/八千代市,市区町村,千葉県,生成AIサービス提供業務（単価契約）【八千代市】,④構築,生成AIサービス導入,,,,,2025-04-14,シフトプラス株式会社,847000,847000,1028500,"{応札企業名＝シフトプラス株式会社、応札結果・備考＝落札、応札金額＝770000},{応札企業名＝リコージャパン株式会社、応札結果・備考＝辞退、応札金額＝},{応札企業名＝日本電子計算株式会社、応札結果・備考＝未入札、応札金額＝},{応札企業名＝株式会社両備システムズ、応札結果・備考＝未入札、応札金額＝},{応札企業名＝株式会社ＦＩＸＥＲ、応札結果・備考＝未入札、応札金額＝}",15,,,○
N20085113,入札中,独立行政法人国際協力機構,独法,東京都,2025年INSARAGアジア太平洋地域会合の開催に関する事務局支援業務（24a00930）,④構築,RAG構築,FY2025,競争・公募,2025-04-11,2025-05-20,,,,,,,,,,○
R25861440,落札結果,文部科学省,国,東京都,セキュアな環境における生成 AI の校務利用の実証研究事業（II）生成AI の校務での活用に関する実証研究の支援・分析・成果とりまとめ、諸課題の調査・検証,③PoC,,,,,,2025-04-11,株式会社教育測定研究所,17600000,17600000,32780000,,,,,○
N20077424,入札中,名古屋市,市区町村,愛知県,テキスト生成ＡＩサービス提供業務委託【名古屋市】,④構築,生成AI（その他）,FY2025,競争・公募,2025-04-10,2025-04-21,,,,,,,,,,○
N20076891,入札中,国土交通省/那覇空港事務所,その他,沖縄県,令和7年度多良間RAGサイト除草作業,④構築,RAG構築,FY2025,競争・公募,2025-04-10,2025-05-22,,,,,,,,,,○
N20071576,入札中,その他,その他,全国,【米軍案件】SHIPPING AND STORAG,④構築,RAG構築,FY2025,競争・公募,2025-04-09,,,,,,,,,,,○
N20071575,入札中,その他,その他,全国,【米軍案件】SHIPPING AND STORAG,④構築,RAG構築,FY2025,競争・公募,2025-04-09,,,,,,,,,,,○
N20070794,入札中,農林水産省,国,東京都,令和7年度業務効率化のための生成AIおよびRAG技術活用に関する調査・実証業務,③PoC,,FY2025,競争・公募,2025-04-09,2025-04-25,,,,,,,,,,○
N20067025,入札中,静岡県,都道府県,静岡県,令和7年度生成AI等チャレンジ事業（自動車産業）業務委託,④構築,生成AI（その他）,FY2025,競争・公募,2025-04-08,2025-06-20,,,,,,,,,,○
N20066542,入札中,大阪府,都道府県,大阪府,生成ＡＩシステムにおけるデータ学習機能充実・強化業務,④構築,生成AI（その他）,FY2025,競争・公募,2025-04-08,2025-05-13,,,,,,,,,,○
R25620442,落札結果,外務省,国,東京都,会計手続システムにおけるチャットボット機能の運用保守業務一式,⑤運用,,,,,,2025-04-08,株式会社日立製作所,20996800,20996800,20996800,,,,,○
N20058535,入札中,その他広島県市町村/府中町,市区町村,広島県,生成AIシステム使用【府中町】,④構築,生成AI（その他）,FY2025,競争・公募,2025-04-07,2025-04-18,,,,,,,,,,○
R25875531,落札結果,山口県,都道府県,山口県,生成ＡＩ・学習アシスタントアプリケーション運用保守業務,⑤運用,,,,,,2025-04-07,スタディポケット株式会社,43560000,43560000,43560000,,,,,○
N20052289,入札中,その他,その他,全国,【米軍案件】DRAG BEAM,④構築,RAG構築,FY2025,競争・公募,2025-04-04,,,,,,,,,,,○
N20052281,入札中,その他,その他,全国,【米軍案件】SHIPPING AND STORAG,④構築,RAG構築,FY2025,競争・公募,2025-04-04,,,,,,,,,,,○
N20051139,入札中,富山県市町村/射水市,市区町村,富山県,射水市生成AIサービス提供業務【射水市】,④構築,生成AIサービス導入,FY2025,競争・公募,2025-04-04,2025-05-02,,,,,,,,,,○
R26220431,落札結果,札幌市,市区町村,北海道,チャットボットシステム（障害福祉サービス等）導入実証実験業務【札幌市】,③PoC,,,,,,2025-04-04,株式会社ビースポーク,1984000,1984000,,,,,,○
R25946318,落札結果,千葉県,都道府県,千葉県,AIチャットボットサービス提供業務,④構築,チャットボット,,,,,2025-04-04,株式会社ユーザーローカル,2035000,2035000,2035000,,,,,○
R25861439,落札結果,文部科学省,国,東京都,セキュアな環境における生成 AI の校務利用の実証研究事業（Ⅲ）生成AI の校務での更なる活用に関する実証研究,③PoC,,,,,,2025-04-04,Sky株式会社,96785813,96785813,101920912,,,,,○
R25861438,落札結果,文部科学省,国,東京都,セキュアな環境における生成 AI の校務利用の実証研究事業（Ⅰ）生成AI の校務での活用に関する実証研究,③PoC,,,,,,2025-04-04,アクセンチュア株式会社,78870000,78870000,78876095,,,,,○
N20044427,入札中,独立行政法人宇宙航空研究開発機構/相模原キャンパス,独法,神奈川県,2025年度戦略的国際共同Dragonflyミッション地震計開発S＆MAおよび技術支援業務,④構築,RAG構築,FY2025,競争・公募,2025-04-03,2025-04-16,,,,,,,,,,○
R25797733,落札結果,日本郵政グループ,その他,東京都,開発部門向け生成ＡＩ環境の機能拡充の委託（2025年度）,④構築,生成AI（その他）,,,,,2025-04-03,かんぽシステムソリューションズ株式会社,87780000,87780000,,,,,,○
N20036645,入札中,その他千葉県市町村/八千代市,市区町村,千葉県,生成AIサービス提供業務（単価契約）【八千代市】,④構築,生成AIサービス導入,FY2025,指名,2025-04-02,2025-04-14,,,,,,,,,,○
R25472133,落札結果,三重県,都道府県,三重県,令和７年度生成ＡＩ利用環境提供業務,④構築,生成AI（その他）,,,,,2025-04-02,株式会社ＮＴＴドコモ東海支社三重支店,2981000,2981000,,"{応札企業名＝株式会社ＮＴＴドコモ東海支社三重支店、応札結果・備考＝、応札金額＝2981000},{応札企業名＝ＴＯＰＰＡＮ株式会社三重営業所、応札結果・備考＝、応札金額＝4249000}",6,,,○
N20036229,入札中,長野県市町村/喬木村,市区町村,長野県,令和７年度 喬木村立喬木中学校生成AIを活用した英語学習ツール導入事業【喬木村】,④構築,教育・学校AI,FY2025,競争・公募,2025-04-01,2025-04-11,,,,,,,,,,○
R26917614,落札結果,国土交通省,,東京都,令和７年度 RAG空港用ITV装置定期点検作業,,,,,,,2025-04-01,株式会社サンネクト,5940000,5940000,6018133,,,ノイズ,,
R26915617,落札結果,京都市,市区町村,京都府,令和７年度 生成ＡＩサービス「サテライトＡＩ」利用契約【京都市】,⑤運用,,,,,,2025-04-01,株式会社サテライトオフィス,10659000,10659000,,,,,,○
R26766787,落札結果,山梨県市町村/富士川町,市区町村,山梨県,生成AIシステムライセンス利用料【富士川町】,⑤運用,,,,,,2025-04-01,アドバンステクノロジー株式会社,2376000,2376000,,,,,,○
R26707086,落札結果,財団法人/愛知・名古屋アジア・アジアパラ競技大会組織委員会,独法,愛知県,Video monitors and LED screen leasing for the 20th Asian Games Aichi- Nagoya 2026 and the 5th Asian Para Games Aichi- Nagoya 2026 Specification,④構築,AI（その他）,,,,,2025-04-01,落札会社名記載なし,,,,,,,,○
R26684835,落札結果,東京23区/練馬区,市区町村,東京都,令和７年度練馬区AIチャットボットシステム保守等業務委託【練馬区】,⑤運用,,,,,,2025-04-01,株式会社サイネックス,1584000,1584000,,,,,,○
R26684749,落札結果,東京23区/練馬区,市区町村,東京都,練馬区おくやみチャットボットシステム運用管理等業務委託【練馬区】,⑤運用,,,,,,2025-04-01,株式会社鎌倉新書,1386000,1386000,,,,,,○
R26482207,落札結果,富山県市町村/富山市,市区町村,富山県,観光案内用AIチャットボット運用保守業務委託【富山市】,⑤運用,,,,,,2025-04-01,株式会社ビースポーク,5317200,5317200,,,,,,○
R26482087,落札結果,富山県市町村/富山市,市区町村,富山県,富山市子育て支援ＡＩチャットボット運用・保守業務委託【富山市】,⑤運用,,,,,,2025-04-01,株式会社サイネックス,2376000,2376000,,,,,,○
R26481920,落札結果,富山県市町村/富山市,市区町村,富山県,富山市ホームページ及びＡＩチャットボット運用保守業務委託【富山市】,⑤運用,,,,,,2025-04-01,株式会社フューチャーイン,4196280,4196280,,,,,,○
R26451002,落札結果,独立行政法人国際協力機構,独法,東京都,SECURITY ADVISOR JICA NICARAGUA OFFICE JFY2025,④構築,RAG構築,,,,,2025-04-01,個人,2334025,2334025,,,,,,○
R26414267,落札結果,その他兵庫県市町村/宝塚市,市区町村,兵庫県,住民問い合わせ対応AIチャットボットシステム使用に関する契約【宝塚市】,④構築,チャットボット,,,,,2025-04-01,CAMEL株式会社,1056000,1056000,,,,,,○
R26404713,落札結果,福岡県,都道府県,福岡県,福岡県生成AIチャットサービスの運用支援業務委託,⑤運用,,,,,,2025-04-01,株式会社QTnet,3850000,3850000,,,,,,○
R26404710,落札結果,福岡県,都道府県,福岡県,令和７年度福岡県AIチャットボットのサービス提供に係る契約,④構築,チャットボット,,,,,2025-04-01,株式会社サイネックス,792000,792000,,,,,,○
R26379372,落札結果,その他静岡県市町村/沼津市,市区町村,静岡県,ChatGPT LGWAN-ASP利用料（自治体 AI zevo）【沼津市】,④構築,AI（その他）,,,,,2025-04-01,シフトプラス株式会社,2640000,2640000,,,,,,○
R26372969,落札結果,山梨県市町村/南アルプス市,市区町村,山梨県,家屋台帳ファイリングシステム（HOUSTRAGE）使用料【南アルプス市】,④構築,RAG構築,,,,,2025-04-01,株式会社 ＹＳＫ ｅ－ｃｏｍ,1276000,1276000,,,,,,○
R26371867,落札結果,沖縄県,都道府県,沖縄県,令和７年度沖縄県生成ＡＩサービス利用環境構築業務委託,⑤運用,,,,,,2025-04-01,株式会社エクサウィザーズ,6714400,6714400,,,,,,○
R26361844,落札結果,鹿児島県市町村/南九州市,市区町村,鹿児島県,ＣｈaｔＧＰＴ導入業務委託及び利用料【南九州市】,④構築,AI（その他）,,,,,2025-04-01,川口弘行合同会社,850300,850300,,,,,,○
R26361822,落札結果,鹿児島県市町村/南九州市,市区町村,鹿児島県,観光案内用多言語ＡＩチャットボット運用保守業務委託【南九州市】,⑤運用,,,,,,2025-04-01,株式会社アクティバリューズ,1056000,1056000,1056000,,,,,○
R26361456,落札結果,山梨県,都道府県,山梨県,富士の国やまなし観光ネットのAIチャットボットに係る運用保守業務委託,⑤運用,,,,,,2025-04-01,株式会社ビースポーク,7553304,7553304,,,,,,○
R26325005,落札結果,国立健康危機管理研究機構,独法,東京都,J-SIPHE 及び診療所版 J-SIPHEにおけるチャットボット提供ならびに運用保守の補助業務委託,⑤運用,,,,,,2025-04-01,ネオス株式会社,2640000,2640000,,,,,,○
R26318542,落札結果,岐阜県市町村/関市,市区町村,岐阜県,生成AIサービス利用【関市】,⑤運用,,,,,,2025-04-01,株式会社イマクリエ,2255000,2255000,,,,,,○
R26290304,落札結果,その他北海道市町村/小樽市,都道府県,北海道,AIチャットボット運用保守業務【小樽市】,⑤運用,,,,,,2025-04-01,CAMEL株式会社,1320000,1320000,,,,,,○
R26237036,落札結果,大阪府,都道府県,大阪府,大阪依存症チャットにおけるチャットボット運用保守業務の委託,⑤運用,,,,,,2025-04-01,NTTドコモビジネス株式会社,3894000,3894000,,,,,,○
R26236653,落札結果,大阪府,都道府県,大阪府,生成ＡＩ庁内利活用推進事業,④構築,生成AI（その他）,,,,,2025-04-01,富士通Ｊａｐａｎ株式会社関西公共ビジネス統括,78739980,78739980,,,,,,○
R26232072,落札結果,静岡県,都道府県,静岡県,令和7年度静岡県生成AIサービス運用保守業務委託,⑤運用,,,,,,2025-04-01,株式会社エクサウィザーズ,18040000,18040000,,,,,,○
R26230661,落札結果,東京23区/北区,市区町村,東京都,LoGoチャットライセンスと文章生成AIツールの賃借【北区】,⑤運用,,,,,,2025-04-01,株式会社オーイーシー東京本社,13615360,13615360,,,,,,○
R26230660,落札結果,東京23区/北区,市区町村,東京都,AIチャットボット運用保守業務委託【北区】,⑤運用,,,,,,2025-04-01,ＣＡＭＥＬ株式会社,3352800,3352800,,,,,,○
R26190978,落札結果,国土交通省,,大阪府,令和7年度隠岐RAG局舎外1局舎機械警備業務請負,,,,,,,2025-04-01,富士綜合警備保障株式会社,2197800,2197800,2201364,,,ノイズ,,
R26178411,落札結果,厚生労働省,国,神奈川県,AIを活用した安全性予測プラットフォームの生成AI活用強化に係る作業 一式,④構築,生成AI（その他）,,,,,2025-04-01,グリシナ合同会社,2999700,2999700,3300000,,,,,○
R26176936,落札結果,最高裁判所,国,東京都,ｅ事件管理システム用ＡＩチャット ボットシステムの構築等及び運用保守（令和７年度運用開始分）,⑤運用,,,,,,2025-04-01,株式会社ティファナ・ドットコム,2376000,2376000,2376000,,,,,○
R26176912,落札結果,最高裁判所,国,東京都,ＡＩチャットボットシステムの構築等業務及び運用保守業務（令和５年度運用開始分）,⑤運用,,,,,,2025-04-01,株式会社ティファナ・ドットコム,1265000,1265000,1265000,,,,,○
R26176883,落札結果,最高裁判所,国,東京都,ＡＩチャットボット導入に向けた調査支援及び次期裁判所ウェブサイトへの構築並びに運用保守,⑤運用,,,,,,2025-04-01,チャットプラス株式会社,4719000,4719000,4719000,,,,,○
R26168106,落札結果,外務省,国,東京都,「生成AI環境用Azure Express Route回線」利用契約,⑤運用,,,,,,2025-04-01,ＫＤＤＩ株式会社,13200660,13200660,13200660,,,,,○
R26168085,落札結果,外務省,国,東京都,「会計手続システムにおけるチャットボット機能の運用保守」業務委嘱,⑤運用,,,,,,2025-04-01,株式会社日立製作所,20996000,20996000,20996000,,,,,○
R26168056,落札結果,外務省,国,東京都,「生成AI環境の運用」業務委嘱,⑤運用,,,,,,2025-04-01,株式会社ＦＩＸＥＲ,74580000,74580000,74580000,,,,,○
R26167269,落札結果,経済産業省,国,東京都,令和７年度電力・ガス取引監視等委員会チャットボットシステム運用（ＡＩチャットボットシステム調達）,⑤運用,,,,,,2025-04-01,株式会社ＰＫＳＨＡ Ｃｏｍｍｕｎｉｃａｔｉｏｎ,6600000,6600000,,,,,,○
R26095899,落札結果,その他大阪府市町村/吹田市,市区町村,大阪府,自治体向け対話型テキスト生成AIサービス提供業務【吹田市】,④構築,生成AIサービス導入,,,,,2025-04-01,シフトプラス株式会社,2640000,2640000,,,,,,○
R26089887,落札結果,東京23区/千代田区,市区町村,東京都,問い合わせ対応AIチャットボットの利用【千代田区】,④構築,チャットボット,,,,,2025-04-01,ネオス株式会社,3740000,3740000,,,,,,○
R26077093,落札結果,国土交通省,国,熊本県,令和７年度生成ＡＩを活用した川辺川業務高度化検討等業務,④構築,生成AI（その他）,,,,,2025-04-01,日本工営株式会社,40326000,40326000,,,,,,○
R26050110,落札結果,東京23区/世田谷区,市区町村,東京都,生成ＡＩ基盤の改善等に係る支援業務委託【世田谷区】,④構築,生成AI（その他）,,,,,2025-04-01,株式会社クラウドネイティブ,6600000,6600000,,,,,,○
R26037021,落札結果,日本政策金融公庫,その他,東京都,事業ローンチャットボットに係る保守業務委託及びサービス利用(一式),⑤運用,,,,,,2025-04-01,株式会社オプテージ,7649400,7649400,7649400,,,,,○
R26037020,落札結果,日本政策金融公庫,その他,東京都,チャットボット等システム（ウエブ及びLINE用）のシステム提供及び運用保守業務の委託(一式),⑤運用,,,,,,2025-04-01,株式会社クウゼン,4224000,4224000,4224000,,,,,○
R26037012,落札結果,日本政策金融公庫,その他,東京都,令和7年度上期ChatGPTに係る Azureのサービス提供及び保守の調達(一式),⑤運用,,,,,,2025-04-01,株式会社システムサポート,,,,,,,,○
R26030311,落札結果,独立行政法人理化学研究所,独法,埼玉県,2025年度生成AI技術を応用した回答サービスの提供・高度化 一式,④構築,生成AI（その他）,,,,,2025-04-01,株式会社GFLOPS,7260000,7260000,,,,,,○
R26029309,落札結果,デジタル庁,国,東京都,国・地方共通相談チャットボット2025年度運用・保守等業務,⑤運用,,,,,,2025-04-01,株式会社ＮＴＴデータ,81400000,81400000,,,,,,○
R26027935,落札結果,防衛省,,埼玉県,全身麻酔器(Drager)点検保守,,,,,,,2025-04-01,株式会社ヘルス,5423000,5423000,5423000,,,ノイズ,,
R25961609,落札結果,デジタル庁,国,東京都,国・地方共通相談チャットボット2025年度運用・保守等業務一式,⑤運用,,,,,,2025-04-01,株式会社ＮＴＴデータ,81400000,81400000,,,,,,○
R25895282,落札結果,国土交通省,国,熊本県,令和７年度生成ＡＩを活用した川辺川業務高度化検討等業務,④構築,生成AI（その他）,,,,,2025-04-01,日本工営株式会社,,,,,,,,○
R25863874,落札結果,広島県,都道府県,広島県,AI防災チャットボットを活用した被害情報の収集・集約・共有業務,④構築,チャットボット,,,,,2025-04-01,株式会社ウェザーニューズ,6270000,6270000,,,,,,○
R25859225,落札結果,茨城県,都道府県,茨城県,ＦＣＥプロンプトゲート使用料,④構築,AI（その他）,,,,,2025-04-01,株式会社 ＦＣＥ,49500,49500,,"{応札企業名＝株式会社　ＦＣＥ、応札結果・備考＝ (第3回,第4回は随意契約)、応札金額＝49500}",4,,,○
R25802227,落札結果,独立行政法人国際観光振興機構,独法,東京都,2025年度チャットボットの運営事業,④構築,チャットボット,,,,,2025-04-01,株式会社ビースポーク,21114500,21114500,21114500,,,,,○
R25782100,落札結果,その他北海道市町村/北海道後期高齢者医療広域連合,都道府県,北海道,令和７年度AIチャットボットサービス「OfficeBot」賃貸借契約【北海道後期高齢者医療広域連合】,⑤運用,,,,,,2025-04-01,ネオス株式会社,1650000,1650000,,,,,,○
R25740246,落札結果,岐阜県市町村/各務原市,市区町村,岐阜県,生成AIサービス利用【各務原市】,⑤運用,,,,,,2025-04-01,エヌ・ティ・ティ・コミュニケーションズ株式会社 東海支社,892000,892000,1400000,,,,,○
